レポート開始日,レポート終了日,広告の名前,キャンペーン名,広告セット名,"消化金額 (JPY)",購入,"購入 [クリックの1日後]",ウェブサイト購入,"ウェブサイト購入 [クリックの1日後]",インプレッション,クリック(すべて)
2020-08-01,2020-09-10,F0017_1080-1080_T0001_LP01_FBASPwat200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_デモグラALL_男女_20-65+_SP_PO_oCPM,1754,4,,4,,11132,96
2020-08-01,2020-09-10,F0019_1080-1080_T0001_LP01_FBASPwat200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_デモグラALL_男女_20-65+_SP_PO_oCPM,915,2,,2,,8352,64
2020-08-01,2020-09-10,F0018_1080-1080_T0001_LP01_FBASPwat200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_デモグラALL_男女_20-65+_SP_PO_oCPM,641,2,,2,,3152,13
2020-08-01,2020-09-10,F0020_1080-1080_T0001_LP01_FBASPwat200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_デモグラALL_男女_20-65+_SP_PO_oCPM,765,2,,2,,3061,19
2020-08-01,2020-09-10,F0021_1080-1080_T0001_LP01_FBASPwat200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_デモグラALL_男女_20-65+_SP_PO_oCPM,761,2,,2,,4717,37
2020-08-01,2020-09-10,F0017_1080-1080_T0001_LP01_FBASPwrt200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,1559,,,,,6286,45
2020-08-01,2020-09-10,F0019_1080-1080_T0001_LP01_FBASPwrt200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,764,1,,1,,3391,17
2020-08-01,2020-09-10,F0018_1080-1080_T0001_LP01_FBASPwrt200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,974,1,,1,,2577,30
2020-08-01,2020-09-10,F0020_1080-1080_T0001_LP01_FBASPwrt200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,1414,1,,1,,2936,41
2020-08-01,2020-09-10,F0021_1080-1080_T0001_LP01_FBASPwrt200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,1368,2,,2,,3990,53
2020-08-01,2020-09-10,F0022_1080-1080_T0001_LP01_FBASPwat200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_デモグラALL_男女_20-65+_SP_PO_oCPM,1674,4,,4,,11324,98
2020-08-01,2020-09-10,F0022_1080-1080_T0001_LP01_FBASPwrt200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,1019,,,,,2959,32
2020-08-01,2020-09-10,"BFA20001V_1080 -1350_T0001_LP01_FBASPwat200728ZBFa3",【WebCV】_統合（タダス）,統合（タダス）_デモグラALL_男女_20-65+_SP_PO_oCPM,1078,1,,1,,8137,73
2020-08-01,2020-09-10,BFA20002V_1080-1080_T0002_LP01_FBASPwat200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_デモグラALL_男女_20-65+_SP_PO_oCPM,7975,13,1,13,1,42028,450
2020-08-01,2020-09-10,BFC20001V_1280-720_T0001_LP01_FBASPwat200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_デモグラALL_男女_20-65+_SP_PO_oCPM,534,,,,,5270,26
2020-08-01,2020-09-10,BFC20002V_864-1080_T0002_LP01_FBASPwat200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_デモグラALL_男女_20-65+_SP_PO_oCPM,7432,26,,26,,20815,177
2020-08-01,2020-09-10,"BFA20001V_1080 -1350_T0001_LP01_FBASPwrt200728ZBFa3",【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,465,1,,1,,1821,17
2020-08-01,2020-09-10,BFA20002V_1080-1080_T0002_LP01_FBASPwrt200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,8266,11,1,11,1,18200,290
2020-08-01,2020-09-10,BFC20001V_1280-720_T0001_LP01_FBASPwrt200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,503,1,,1,,1713,15
2020-08-01,2020-09-10,BFC20002V_864-1080_T0002_LP01_FBASPwrt200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,8798,15,,15,,10618,104
2020-08-01,2020-09-10,BFA20003V_1080-1080_T002_LP01_FBASPwat200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_デモグラALL_男女_20-65+_SP_PO_oCPM,3885,8,,8,,20244,197
2020-08-01,2020-09-10,BFA20004V_1080-1080_T001_LP01_FBASPwat200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_デモグラALL_男女_20-65+_SP_PO_oCPM,657,2,,2,,3939,29
2020-08-01,2020-09-10,BFC20003V_1080-1080_T002_LP01_FBASPwat200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_デモグラALL_男女_20-65+_SP_PO_oCPM,546,,,,,3035,43
2020-08-01,2020-09-10,BFC20004V_864-1080_T001_LP01_FBASPwat200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_デモグラALL_男女_20-65+_SP_PO_oCPM,917,4,,4,,4719,42
2020-08-01,2020-09-10,BFA20003V_1080-1080_T002_LP01_FBASPwrt200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,5092,9,3,9,3,13553,142
2020-08-01,2020-09-10,BFA20004V_1080-1080_T001_LP01_FBASPwrt200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,1113,,,,,2558,35
2020-08-01,2020-09-10,BFC20003V_1080-1080_T002_LP01_FBASPwrt200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,629,1,,1,,1272,20
2020-08-01,2020-09-10,BFC20004V_864-1080_T001_LP01_FBASPwrt200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,1230,1,,1,,3513,27
